"Name","ColorType","SVGLink","PNGLink","AILink","PSDLink"
"CaretDown","Monocolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretDown/CaretDown-01.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretDown/CaretDown.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretDown/CaretDown.ai",""
"CaretLeft","Monocolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretLeft/CaretLeft-01.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretLeft/CaretLeft.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretLeft/CaretLeft.ai",""
"CaretRight","Monocolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretRight/CaretRight-01.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretRight/CaretRight.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretRight/CaretRight.ai",""
"CaretUp","Monocolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretUp/CaretUp-01.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretUp/CaretUp.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Monocolor/CaretUp/CaretUp.ai",""
"AddColor","Multicolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/AddColor/AddColor.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/AddColor/AddColor.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/AddColor/AddColor.ai",""
"AdvertisementPageColor","Multicolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/AdvertisementPageColor/AdvertisementPageColor.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/AdvertisementPageColor/AdvertisementPageColor.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/AdvertisementPageColor/AdvertisementPageColor.ai",""
"ArrowColor","Multicolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/ArrowColor/ArrowColor.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/ArrowColor/ArrowColor.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/ArrowColor/ArrowColor.ai",""
"BarcodeColor","Multicolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeColor/Barcode-01.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeColor/Barcode.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeColor/Barcode.ai",""
"BarcodeReaderColor","Multicolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeReaderColor/BarcodeReaderColor.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeReaderColor/BarcodeReaderColor.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeReaderColor/BarcodeReaderColor.ai",""
"BarcodeScannerColor","Multicolor","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeScannerColor/BarcodeScannerColor.svg","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeScannerColor/BarcodeScannerColor.png","https://raw.githubusercontent.com/chootugamble/RohansSVGs1/refs/heads/main/Icons/Multicolor/BarcodeScannerColor/BarcodeScannerColor.ai",""
